URL,Performance,Accessibility,BestPractices,SEO,Screenshot,date
https://www.wheatleyvodka.com/,19,86,73,93,screenshot/fb4f99da-3ba7-462d-ace1-4d5a0a7eb9ed.png,Wed Aug 23 13:37:35 CEST 2023
https://www.wheatleyvodka.com/about-wheatley/,43,72,73,86,screenshot/fb0db1d4-8e30-4eed-a28f-1d51aa7e836c.png,Wed Aug 23 13:37:32 CEST 2023
https://www.wheatleyvodka.com/locator/,6,85,68,93,screenshot/875249c2-c984-45a7-803c-28940cc097f7.png,Wed Aug 23 13:37:41 CEST 2023
https://www.wheatleyvodka.com/cocktails/,47,78,73,86,screenshot/b13eb29b-6546-40b2-9634-7923caa1f1ed.png,Wed Aug 23 13:37:33 CEST 2023
https://www.wheatleyvodka.com/faqs/why-are-some-vodkas-distilled-more-than-once/,54,78,73,86,screenshot/698a80a9-09bc-42fc-af03-08a140fce0d3.png,Wed Aug 23 13:37:26 CEST 2023
https://www.wheatleyvodka.com/faqs/how-many-times-is-wheatley-vodka-distilled-and-why/,48,78,73,86,screenshot/35ecece6-4b2c-4078-b589-2156c0071fb3.png,Wed Aug 23 13:37:49 CEST 2023
https://www.wheatleyvodka.com/faqs/whats-the-difference-in-distilling-vodka-in-a-pot-still-versus-a-columnar-still/,41,78,73,86,screenshot/52e2b4ba-a896-4ab5-b95a-ea347301c4fa.png,Wed Aug 23 13:37:56 CEST 2023
https://www.wheatleyvodka.com/faqs/what-is-a-craft-distillery/,55,78,73,86,screenshot/dce86f28-059a-4e86-b8d0-ff4fdcdbfef4.png,Wed Aug 23 13:37:57 CEST 2023
https://www.wheatleyvodka.com/faqs/what-types-of-ingredients-go-into-a-good-vodka/,45,78,73,86,screenshot/35e2990d-5169-485b-9058-8dc7de4c0ef7.png,Wed Aug 23 13:38:02 CEST 2023
https://www.wheatleyvodka.com/faqs/why-do-some-vodka-brands-distill-their-spirits-in-small-batches/,36,78,73,86,screenshot/63e99aaa-7c8b-4121-b5ef-93330e825761.png,Wed Aug 23 13:38:07 CEST 2023
https://www.wheatleyvodka.com/faqs/isnt-vodka-just-distilled-from-potatoes/,44,78,73,86,screenshot/fc9c5301-dc49-42d4-8a5a-7a1e88d929fb.png,Wed Aug 23 13:38:13 CEST 2023
https://www.wheatleyvodka.com/faqs/what-does-it-mean-when-a-vodka-is-distilled/,55,78,73,86,screenshot/d52df978-0f95-41cb-a1e3-e097db0282a7.png,Wed Aug 23 13:38:20 CEST 2023
https://www.wheatleyvodka.com/faqs/is-all-vodka-the-same/,51,78,73,86,screenshot/3d6638db-fcac-47cf-ba76-01a30a3d674a.png,Wed Aug 23 13:38:23 CEST 2023
https://www.wheatleyvodka.com/faqs/doesnt-vodka-have-to-be-distilled-in-russia/,47,78,73,86,screenshot/513bdb2b-1238-4123-a282-c64a456dc432.png,Wed Aug 23 13:38:26 CEST 2023
https://www.wheatleyvodka.com/faqs/does-distilling-the-vodka-more-make-it-better/,43,78,73,86,screenshot/308d7b30-c0f9-441c-b203-148728af365c.png,Wed Aug 23 13:38:34 CEST 2023
https://www.wheatleyvodka.com/faqs/whats-the-difference-between-corn-and-wheat-based-vodka/,52,78,73,86,screenshot/830df368-37f1-4706-bed1-df2048cad2cf.png,Wed Aug 23 13:38:36 CEST 2023
